artifact_id,path,artifact_kind,size_bytes,sha256
f753c88fbfedfb7552f45009b30b7a6255f5b780fd9b0fa5469179affc86bd2e,logion/k0/governance/status/<SOURCE_BOUNDARY_STATUS_SURFACE><PUBLIC_BOUNDARY_REDACTED_FILENAME>,md,58408,26fffc7f9e3848fa88d99c635ad20915ef09d2172333efe41ca0490ecf6df946
7df44e77cddf12de44aa7ecec3635e1b692d107e2c8e3c7e572fd9d214313545,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/OC_THEORY_ARTICLE_BOUNDARY_024.md,md,4603,147468c564159a11126fafe1857dd980994c3f1029fb18c30638df3f626ff6cd
a5f4d494c05f20141f6f8d8b7ec7a3d31c2b04e2f8361757338deefc528948d3,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,sqlite,122880,70baf53b160396c76fd82d6b1bdcf55aca3e81dcf93a377e67b42db5f45fca87
f1587b39e1d151d0fb868d540a495ef5ff7321aa60fb818d0867952a3e2b6a7c,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/OC_THEORY_CONVERSION_ORDER_024.md,md,4177,5d371e097c26efa7cbd877497f68494e137478be19927c8fe033f6cf8abd84da
1bf1849168a31c9ceb8949cecf1440260462e729772a3280aa547a20a3193bb9,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/OC_THEORY_CORE_NOTEBOOK_024.md,md,30441,4b57b7aabad1c27b13a47c7d93fc58c9506bb9431032e080c6c884e682a041c0
273ce84530dca0d8a483d12f97510b42c84fa7c5c446c093c2869964127c1739,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/025/real_theory_science/OC_REAL_THEORY_LAB_NOTEBOOK_025.md,md,18257,e59b02f1b1e2c79e8aea1de7731b097a4761b0f6b2ba48d266f0a91972955a91
918c7612bcb6b0d9cb34cb2252f21b90c22718e741948770ebdcfb26260028ad,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/025/real_theory_science/oc_real_theory_science_025.sqlite,sqlite,69632,5ed31be144e10f464977f52033b2141ab8d713c252aa6fc2b15e286173479920
46c602a9745630e043520b6ede45b8f5a8ec853c1de51c5cb4770ad252843d47,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/025/real_theory_science/OC_REAL_THEORY_SCIENCE_ORDER_025.md,md,2449,b089c5ed622296d4d1d4f592adf389fd1756816a3cf7f3b59654af8db0925e2d
4e972c8c6e12508c7b92aaf6bf2472b3e5a24cbfde718d4275589fb013b7e309,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/025/real_theory_science/formal/archive_binary_axis_model.py,py,3574,065acc5cf04db14878440b8e088dfe98394a4ca8e1c04da10b3f379b79387587
126f6143df4f3f4a0946a7af454d0a7408ccc69c9bde5e49958b75b2a7fa3e7b,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/025/real_theory_science/formal/bounded_central_schema_model.py,py,4072,a2819443e2957de20795cb338cab3775a8d1b7154cee779c1a531141d00c00bc
709c15f6a7af25fe3897d84fb8d560a7863b805ec59b2b5d4b71adadbbe74e99,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/025/real_theory_science/formal/crown_dependency_counterproof.py,py,1104,10b3cfe99ee27ba3ee70ed63ebdef52e151966382a11dda9e27b7d8027b46c1f
903067fe304e67f1508c1e572479e0486bba455e498256cef93b431ff2f72c98,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/025/real_theory_science/formal/domain_projection_countermodel.py,py,2125,550a51dfbd8a801fba25d3b71470a4ce442d4f55aa432b471f8a40435b6a62d2
9ed85bebae35fa635c4d3d1009d1c6228b94cd652a9644e01699fa0a2874c73b,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/025/real_theory_science/formal/k_level_count_countermodel.py,py,2062,bc39d293a8ef078a7039e252b2994675a73ae5f06858670bcd420d71160feb38
9ab1338709cf879d8fe33aaa41568ca7a4c0131c85c4bd81c8cbbf33978fe4a0,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/025/real_theory_science/formal/law_promotion_countermodel.py,py,1588,e45fc4bf507e440e155170a9aa8384f63ae1826de1eaed183f2450291a817f77
a75d81a7c97fdb87937c0b25d07a06310f333f00be148dcd73325f575b09bc69,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/025/real_theory_science/formal/operator_minimality_countermodel.py,py,2559,f2b5e026fa0bacabebd21884a96935cdfa62f2603b4818ca29c16e88b2f79b8e
f5304e6f2c83119fce422b40f121c2bd335edb1938f2b60b17b983645e2c822d,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/025/real_theory_science/formal/primitive_dependency_audit.py,py,2750,a7b9f525e0f4ce0669bf55f372b9f439eb54e837c4236c9ae434f7088fb751f1
2fa519a331dfe67fe6952a3298b478f96a8005029109464ea7464d1fb3281fb7,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/026/oc_repair_proof_upgrade/OC_REPAIR_ARTICLE_BOUNDARY_026.md,md,1257,b9c4885901a37e53634f100ce0c5ec162cb9f5ce9419a15ae8d4b6c605521cd0
62996fca5141fe901e6657555e22b9c60046701b85a66d55322a767969181c01,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/026/oc_repair_proof_upgrade/OC_REPAIR_PROOF_NOTEBOOK_026.md,md,4545,330532a3a76bebe71b2908aa9855582224a8378b4a89ccbe307ef633e122906f
b6e6201478b200895f405b44a7dd2102f2a68f4bf1f780962109d7c7b5774ec2,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/026/oc_repair_proof_upgrade/oc_repair_proof_upgrade_026.sqlite,sqlite,40960,cba7d3e66e77c0344971add64451882647af463c20612de14125f2d28b365749
a231336c17b8224228240eec338ce33f416f60c9c7eb9323d799668318749332,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/026/oc_repair_proof_upgrade/OC_REPAIR_PROOF_UPGRADE_ORDER_026.md,md,1835,9658797a60ca3147b75ab1864cc0da5c4e6f3ae94dc4ac079a5e7d1c5b36abe6
a32202b0f5eaae2a1ae1f9197135f8080814147f4dbeabfe72be0ed078ffdfea,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/026/oc_repair_proof_upgrade/formal/crown_core_rejection.py,py,1104,1e084dcf76f590692710683cbfbb51ea2bc7804a6be1cef5602c4e77dd8252ff
edc85fe80f56f12c7c96caa253d779a14a9ffb8135ac1331613331c94d76cb62,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/026/oc_repair_proof_upgrade/formal/domain_projection_validation_protocol.py,py,1232,77bbec57ebd68e35d7c5dbe6cef7b0d66bbbd55a88b26748aaa535f632a0206e
